date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2019-01-24 00:00:00+00:00,1904448,2840417,59204139.0,21316.0,33464,96676,3965227.0,13049182.0,25496893.0,11306954.0,10361834.0,5249672.0,14170898.0,21924130.0,91617,70068,15438.0,5541891
2019-01-25 00:00:00+00:00,2048523,4110560,96883358.0,51887.0,50078,907586,4392949.0,10233586.0,63139954.0,7241935.0,13065935.0,4916976.0,10030815.0,18154332.0,100279,45377,7374.0,5070370
2019-01-28 00:00:00+00:00,3696571,3560319,85613655.0,44148.0,92316,60206,5901025.0,12022744.0,66894895.0,7113845.0,13143954.0,5971989.0,9662469.0,14183789.0,89388,29334,13700.0,9187591
2019-01-29 00:00:00+00:00,3837565,2432929,66136334.0,16528.0,10234,32734,2882308.0,11884145.0,29442082.0,11099240.0,12384037.0,8222997.0,8573987.0,12618520.0,148168,64738,11623.0,6891071
2019-01-30 00:00:00+00:00,1523860,5686150,92473671.0,19787.0,203037,1826320,5900514.0,12116611.0,62076761.0,11706827.0,16892456.0,7073290.0,16995325.0,18578898.0,53930,167001,16563.0,13720516
2019-01-31 00:00:00+00:00,2274196,5649631,104012073.0,24551.0,121079,3540577,5599090.0,17844177.0,64021467.0,13410059.0,13867112.0,12475263.0,18250916.0,23081709.0,548570,70656,33036.0,11413356
2019-02-01 00:00:00+00:00,1718083,3971387,85782524.0,14723.0,56006,577914,5636382.0,14772410.0,42920281.0,9386492.0,11844953.0,5539469.0,9737796.0,15562362.0,134185,144110,57736.0,22702763
2019-02-04 00:00:00+00:00,1476509,2576093,60744844.0,46374.0,42189,74426,3604799.0,10108051.0,30362455.0,9308908.0,7688416.0,3557811.0,7604287.0,18065691.0,84981,52985,18079.0,10299364
2019-02-05 00:00:00+00:00,3185825,3090516,79552774.0,27990.0,65570,96662,4162383.0,7852677.0,39095274.0,8921434.0,9079115.0,4428865.0,12060664.0,12296230.0,184646,82308,14711.0,13279056
2019-02-06 00:00:00+00:00,2306763,1913464,58347791.0,14154.0,52487,25529,2915949.0,6803809.0,51542815.0,6135904.0,15557618.0,4955033.0,10189649.0,9204507.0,60662,284723,8251.0,9818951
2019-02-07 00:00:00+00:00,1805356,3884789,95481961.0,46173.0,94122,110646,4521237.0,14600475.0,80395650.0,9511821.0,15611371.0,6367955.0,14632128.0,16075627.0,102996,77211,16761.0,11887228
2019-02-08 00:00:00+00:00,1771111,2942716,75788861.0,16328.0,21501,33843,3323286.0,10634406.0,54911051.0,7284173.0,15977037.0,4521382.0,8488796.0,14633681.0,73984,34608,234788.0,5007427
2019-02-11 00:00:00+00:00,1180211,2677587,68021423.0,19025.0,78064,354364,3057904.0,12497386.0,53115694.0,5017407.0,7909836.0,4158324.0,7434660.0,14729079.0,69768,281738,201299.0,9950364
2019-02-12 00:00:00+00:00,2197089,3080642,72270221.0,9263.0,110217,124861,3876944.0,10677292.0,37671288.0,9093318.0,8909762.0,10069829.0,9709099.0,14753324.0,86343,274182,8586.0,7465087
2019-02-13 00:00:00+00:00,1262912,2918218,65277204.0,15365.0,46673,155722,3480557.0,13061653.0,42969630.0,6435569.0,8134248.0,7347124.0,9120886.0,13381784.0,42976,28133,11504.0,5129324
