date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR,F,DIS,MCD,KO,PEP,JPM,AAPL,PFE,JNJ,ED
2011-09-02 00:00:00+00:00,22.8380700782,93.1833335012,99.764253751,71.3565205884,34.3635674363,57.6647358962,31.9756551818,53.7347946446,8.7639820312,28.3191752365,26.0123323499,28.5765451681,20.560833769,24.7961182851,9.7787494922,16.6493732038,31.114201308,40.2475350266,7.1521969157,28.7562749976,70.2912768449,27.0213168386,50.0200352787,27.7050109035,46.489305843,13.7275308722,50.4159244971,40.6962922832
2011-09-06 00:00:00+00:00,22.6843358743,92.2953199026,99.036232892,70.8247651121,34.1632940953,57.0660816707,31.878114359,53.1505443857,8.6102279605,28.388991385,25.7425123709,28.4251239691,20.4650805211,24.6769419881,9.3910806207,16.3125860903,31.3286636826,40.1595622724,7.0149186639,28.1361458387,70.0782490669,26.9012048768,49.3483602394,26.7529761656,47.1964951232,13.8688218183,50.8644507491,40.4858067337
2011-09-07 00:00:00+00:00,23.3590582139,94.5609994578,101.8298013042,72.5381994248,35.2981763613,58.3477076183,32.702777679,55.0980452487,9.0225684228,29.0696988329,26.5435404336,29.2411159859,20.9960758048,24.9525371748,9.6442521286,16.7789067091,32.0483994118,41.5084778362,7.2482916919,28.9068777933,70.4490751991,27.4320222566,48.6924893187,27.8570164499,47.7172548919,14.1365309794,51.4860923966,40.6962922832
2011-09-08 00:00:00+00:00,23.0942937515,93.6729858593,100.7716314511,71.8967166279,34.5388066098,57.1672626665,32.2594103027,54.4569928813,8.8268814237,28.7555261646,26.1430264023,28.8541506996,20.8916177162,24.9376401377,9.3673457918,16.4507551625,31.680381977,41.2079042595,7.097285615,28.3044666104,69.912560795,27.5753816949,48.4712316587,26.808978209,47.7433550235,13.9952400333,51.1083860791,40.6817760384
2011-09-09 00:00:00+00:00,22.4990007506,91.1417321437,98.1304394978,70.2069158919,33.4039243438,55.6031731054,31.4081449401,52.655554583,8.5473285679,27.9002783454,25.4473967689,27.9035620614,20.4476708397,24.4311408757,8.9049913256,16.0017056778,31.114201308,40.0495963297,6.8982321499,27.4982987038,67.0879702562,26.8779574003,47.4044536552,25.6649364651,46.9156079926,13.5936762916,50.0775625878,40.0067706555
2011-09-12 00:00:00+00:00,22.5690352213,91.7143764269,98.7653414096,70.6010901895,33.453992679,55.4050269885,31.7805735362,52.9030494844,8.6451720674,27.9962755496,25.4937720778,27.7142855626,20.6914063797,24.6322508768,8.7818866798,15.9844345437,30.8139539836,40.1742243981,6.9394156255,27.7197734034,68.0032007101,26.8818319797,47.5229845444,25.9369463902,47.2213523914,13.5676490121,50.0382181797,40.4858067337
2011-09-13 00:00:00+00:00,22.8551516564,92.0546433198,99.6711348039,71.0864225687,33.4456479565,55.4556174864,32.1530021324,53.0531693425,8.7010826386,28.2842671622,25.9701729782,28.1727553041,20.9351419198,24.7961182851,8.8847376049,16.122603616,31.3629776626,40.2108797123,6.980599101,27.8615172112,67.9479712862,26.9554489886,47.8390669159,25.9929484336,47.8030124672,13.6308581196,50.0539559429,40.8487128536
2011-09-14 00:00:00+00:00,23.1839720371,93.2829238113,101.0509882924,72.048646764,33.3788901761,55.3797317395,32.685042984,53.7104508838,8.8059149596,28.5548047377,26.4254941928,28.6101943234,21.2485161855,24.967434212,9.0429697974,16.4075773274,31.6374895021,40.4381426606,7.0835577898,28.6056722018,68.4450361017,27.2168115186,48.6608810816,26.240957483,48.384672543,13.6903490443,50.1483825223,41.0446821583
2011-09-15 00:00:00+00:00,23.5683075471,94.8265736181,102.7948522103,73.2303256003,33.7210238005,55.6929712392,33.2348185306,54.777519065,9.0295572442,28.8166152945,26.9609182136,29.0981070758,21.5880049734,25.2802719915,9.0113233589,16.7098221729,32.229405656,41.2225663851,7.29633908,29.1815064208,69.4865052389,27.704428179,49.9568188044,27.0489869665,48.8395605509,13.7498399689,50.6755975904,41.4293626454
2011-09-16 00:00:00+00:00,23.6275806235,95.4985312176,103.400086815,73.7257402322,34.1299152051,55.9741700902,33.6052165042,54.6553458442,9.0542347726,28.9713627877,27.106772776,29.1934435451,21.826082367,25.5657364653,8.7977098991,16.6502367605,32.3409260908,41.5597952761,7.2894751674,29.1549294569,69.6600834284,27.786347778,49.032277868,26.7449758737,49.7766795619,13.497003539,50.825106341,41.6761388069
