Date,return1,return2
2014-09-21,8.795604482,8.381753943
2014-09-22,8.358741437,8.061580914
2014-09-23,8.220127373,7.956136073
2014-09-24,8.391007319,8.079531177
2014-09-25,7.970455623,7.679601366
2014-09-26,8.529349317,8.139435262
2014-09-27,8.662720834,8.280759565
2014-09-28,8.481733905,8.140177262
2014-09-29,8.462685777,7.942280084
2014-09-30,8.371134935,8.080490536
2014-10-01,7.984705141,7.686228221
2014-10-02,8.010237291,7.844201468
2014-10-03,8.219831435,7.770481211
2014-10-04,8.138345396,7.813928607
2014-10-05,8.104038603,7.8000707
2014-10-06,7.94741383,7.498231281
2014-10-07,7.457137175,7.017956059
2014-10-08,8.077187812,7.624777987
2014-10-09,7.372493693,6.831554247
2014-10-10,7.360065093,6.766152909
2014-10-11,7.500537506,6.915729552
2014-10-12,7.451471576,6.726397648
2014-10-13,7.124489118,6.405537571
2014-10-14,6.943512364,6.348118279
2014-10-15,6.668533676,6.05418212
2014-10-16,6.904496803,6.519682347
2014-10-17,7.052345291,6.704146751
2014-10-18,6.958854515,6.637836761
2014-10-19,7.156099855,6.963504259
2014-10-20,7.684672945,7.277717264
2014-10-21,8.201614901,7.887246996
2014-10-22,7.867659763,7.428553808
2014-10-23,8.205553429,7.925031874
2014-10-24,8.583368659,8.199127036
2014-10-25,8.656855109,8.180808187
2014-10-26,8.734854144,8.462586346
2014-10-27,8.648930478,8.345046407
2014-10-28,8.966929639,8.704669653
2014-10-29,8.912025263,8.665616585
2014-10-30,8.933834543,8.561974198
2014-10-31,9.249783781,9.001652966
2014-11-01,9.246904082,9.162192313
2014-11-02,9.017627756,8.753972223
2014-11-03,9.182128716,8.945296906
2014-11-04,9.02897077,8.879696131
2014-11-05,9.182165464,8.838114767
2014-11-06,11.25019832,10.89879994
2014-11-07,9.210628954,9.184997881
2014-11-08,11.78321466,11.67021602
2014-11-09,12.13027487,11.79325773
2014-11-10,12.07439702,11.73868786
2014-11-11,12.05940171,11.84562005
2014-11-12,12.06714954,11.70923469
2014-11-13,11.92694881,11.49083785
2014-11-14,12.03175567,11.71522964
2014-11-15,12.44009728,12.10401664
2014-11-16,12.50687996,12.30513852
2014-11-17,12.36897847,12.08048675
2014-11-18,12.11084743,11.9775226
2014-11-19,12.02109281,11.74993127
2014-11-20,12.0374012,11.72928554
2014-11-21,12.28874964,12.28005964
2014-11-22,12.21997026,12.3910087
2014-11-23,11.89645948,11.93501317
2014-11-24,11.89016955,11.7675773
2014-11-25,11.85046524,12.03236831
2014-11-26,11.90763712,11.75137251
2014-11-27,11.88387639,11.91075147
2014-11-28,12.01724751,11.74853449
2014-11-29,11.83432617,11.38819399
2014-11-30,11.74215591,11.56308882
2014-12-01,11.57892189,11.29524407
2014-12-02,11.93881983,11.42547184
2014-12-03,11.9833693,11.72174653
2014-12-04,11.8975885,11.48872631
2014-12-05,11.93880825,11.41093437
2014-12-06,11.88523823,11.61707914
2014-12-07,11.88186706,11.64763517
2014-12-08,11.5548418,10.88682783
2014-12-09,11.47249755,10.84900368
2014-12-10,8.955315869,8.350748102
2014-12-11,9.051571053,8.517882019
2014-12-12,8.436882175,7.840849583
2014-12-13,8.445207884,7.920874884
2014-12-14,8.628561409,7.947372106
2014-12-15,8.548133589,8.07022505
2014-12-16,8.126889773,7.516031202
2014-12-17,8.797806366,8.245730567
2014-12-18,9.548400355,9.309750587
2014-12-19,9.334198233,8.966945693
2014-12-20,9.496835537,9.229874276
2014-12-21,9.484813824,9.247135656
2014-12-22,9.81346873,9.384111249
2014-12-23,9.878391414,9.553596156
2014-12-24,9.867118158,9.402570742
2014-12-25,9.872603127,9.5307878
2014-12-26,10.00520161,9.68278974
2014-12-27,9.993438105,9.795251173
2014-12-28,10.10183981,9.855346278
2014-12-29,12.31063582,11.88890483
2014-12-30,9.932706332,9.5265943
2014-12-31,9.576089485,9.09518599
2015-01-01,9.576982813,9.174706722
2015-01-02,8.974741703,8.579985669
2015-01-03,8.980673651,8.671427223
2015-01-04,9.021570051,8.643689009
2015-01-05,8.320686111,7.952312667
2015-01-06,8.029846277,7.584237173
2015-01-07,8.402986649,7.889233641
2015-01-08,8.893460525,8.612521437
2015-01-09,8.743394267,8.399794699
2015-01-10,8.696826629,8.352088531
2015-01-11,8.560431503,7.917574486
2015-01-12,8.376194425,8.060710752
2015-01-13,8.288374457,7.948348226
2015-01-14,8.13850539,7.564955513
2015-01-15,7.832385498,7.427237998
2015-01-16,8.140948019,7.843424065
2015-01-17,8.161203388,7.654540452
2015-01-18,8.050546923,7.788030634
2015-01-19,7.992465034,7.551299469
2015-01-20,7.947844116,7.503226159
2015-01-21,8.055210248,7.681536223
2015-01-22,8.577058976,8.263950936
2015-01-23,8.291950691,7.89639315
2015-01-24,8.27932555,8.030798913
2015-01-25,8.272936014,8.003224864
2015-01-26,8.266347139,7.910925895
2015-01-27,7.944679523,7.583830003
2015-01-28,7.527284889,7.041504178
2015-01-29,7.791682004,7.470419828
2015-01-30,7.413388556,6.94248914
2015-01-31,7.488477266,7.14907052
2015-02-01,7.541447778,6.994055724
2015-02-02,7.714325203,7.234464018
2015-02-03,8.439702181,8.233050201
2015-02-04,8.322316526,8.032823965
2015-02-05,8.698269006,8.490654204
2015-02-06,9.099409714,8.977632983
2015-02-07,8.44586161,8.214754495
2015-02-08,8.489596529,8.568387909
2015-02-09,8.197233797,8.055103931
2015-02-10,8.584652026,8.642407246
2015-02-11,8.581192497,8.509504109
2015-02-12,8.881647047,8.808310882
2015-02-13,8.946451537,8.851754977
2015-02-14,8.931979359,8.759010167
2015-02-15,8.936756357,8.929191976
2015-02-16,8.972053607,8.986758781
2015-02-17,8.818523754,8.757342064
2015-02-18,8.822483556,8.818045853
2015-02-19,8.769305391,8.704523105
2015-02-20,8.909929482,8.750134811
2015-02-21,9.216559766,9.1664746
2015-02-22,9.373255952,9.168186441
2015-02-23,9.130568777,9.153637039
2015-02-24,9.600160908,9.497296783
2015-02-25,9.53867249,9.362938426
2015-02-26,9.460208466,9.337500347
2015-02-27,9.200376062,8.910822014
2015-02-28,8.907596422,8.7372855
2015-03-01,9.19480462,8.934794517
2015-03-02,9.320637822,9.116559381
2015-03-03,9.04509395,8.798998099
2015-03-04,8.843974677,8.75493189
2015-03-05,8.744295436,8.520029994
2015-03-06,8.19419936,7.853805455
2015-03-07,8.216558088,7.810559487
2015-03-08,8.246303523,7.913570904
2015-03-09,8.243388085,7.938478836
2015-03-10,7.678237119,7.349550257
2015-03-11,7.562486813,7.283565477
2015-03-12,7.904823169,7.612783233
2015-03-13,7.79673242,7.429811169
2015-03-14,7.807996925,7.622014536
2015-03-15,7.746331388,7.432029528
2015-03-16,8.175436368,8.156347557
2015-03-17,8.230198682,8.024703059
2015-03-18,8.472115097,8.255140831
2015-03-19,8.310197462,8.125348696
2015-03-20,8.582878485,8.590799245
2015-03-21,8.502327134,8.458701787
2015-03-22,8.814983515,8.619272649
2015-03-23,8.558438489,8.438400975
2015-03-24,8.475307909,8.274111135
2015-03-25,8.051244517,7.747256752
2015-03-26,7.854561641,7.50099269
2015-03-27,7.727811128,7.669638709
2015-03-28,7.83950218,7.620170282
2015-03-29,7.81291042,7.538731181
2015-03-30,8.264145365,8.138696484
2015-03-31,7.949836388,7.576719636
2015-04-01,7.879142486,7.791106996
2015-04-02,7.910654742,7.799780223
2015-04-03,7.883380245,7.994794976
2015-04-04,8.088418185,7.953015532
2015-04-05,8.112586215,8.096418332
2015-04-06,8.346489902,8.137839965
2015-04-07,8.244282847,8.14750616
2015-04-08,8.2509297,8.123601225
2015-04-09,8.402341002,8.36954533
2015-04-10,8.511598117,8.397157837
2015-04-11,8.312911672,8.363491836
2015-04-12,8.200206767,8.027997154
2015-04-13,8.205461118,8.274520885
2015-04-14,8.797668519,8.864705369
2015-04-15,8.84857037,8.935291212
2015-04-16,8.88096584,8.951243153
2015-04-17,8.232127188,8.321208142
2015-04-18,8.435477068,8.347913156
2015-04-19,8.797875231,8.787615313
2015-04-20,8.767267397,8.641941936
2015-04-21,8.817707723,8.904504215
2015-04-22,9.081369085,9.424752784
2015-04-23,9.195932064,9.447152525
2015-04-24,8.958805785,9.43098724
2015-04-25,9.071738414,9.3200174
2015-04-26,9.021363802,9.377851759
2015-04-27,8.930297626,9.206316415
2015-04-28,8.821035746,9.113184104
2015-04-29,8.626583881,8.897416366
2015-04-30,8.088253191,8.089707755
2015-05-01,8.410207237,8.369371422
2015-05-02,8.621537896,8.497234542
2015-05-03,8.594011418,8.752113975
2015-05-04,8.335995569,8.628513445
2015-05-05,7.998350409,8.072849505
2015-05-06,7.656890546,7.69722647
2015-05-07,7.62891011,7.440424595
2015-05-08,7.89839048,8.016658872
2015-05-09,7.849166182,7.806713481
2015-05-10,8.083416382,8.145007416
2015-05-11,7.753471728,7.727997122
2015-05-12,7.684688601,7.465574772
2015-05-13,7.424996913,7.295211682
2015-05-14,7.686283755,7.677943841
2015-05-15,7.445602676,7.407137876
2015-05-16,7.424715146,7.479965818
2015-05-17,7.579589424,7.400514137
2015-05-18,7.491735505,7.460888275
2015-05-19,7.453943308,7.308735298
2015-05-20,7.329512727,7.207097941
2015-05-21,7.307516115,7.269806829
2015-05-22,7.230129413,7.101309384
2015-05-23,7.478343068,7.278396235
2015-05-24,7.598951388,7.380470129
2015-05-25,7.626523155,7.658009733
2015-05-26,7.158538347,6.980619553
2015-05-27,7.367642323,7.213467314
2015-05-28,7.247185685,7.072987882
2015-05-29,7.013814866,6.963651797
2015-05-30,7.289225902,7.08713474
2015-05-31,7.226823952,7.091776822
2015-06-01,7.538514732,7.507348777
2015-06-02,7.42807952,7.278892422
2015-06-03,7.495150848,7.278659408
2015-06-04,7.100113012,6.700224846
2015-06-05,7.137640107,6.900062453
2015-06-06,7.540851192,7.294910466
2015-06-07,7.413282381,7.097006059
2015-06-08,6.897574491,6.577919529
2015-06-09,6.894503754,6.502813969
2015-06-10,7.251443129,7.015868833
2015-06-11,7.26786778,6.973382855
2015-06-12,7.240517548,7.024693791
2015-06-13,7.482016589,7.327987264
2015-06-14,7.252444866,7.046786585
2015-06-15,7.190297577,6.762439425
2015-06-16,7.213758779,7.007245823
2015-06-17,7.237241015,7.042977402
2015-06-18,7.495215932,7.373342841
2015-06-19,7.222365721,7.189481536
2015-06-20,7.621396017,7.472092121
2015-06-21,8.157858713,8.030774091
2015-06-22,8.425518219,8.361678363
2015-06-23,8.717754455,8.665625949
2015-06-24,8.590543737,8.629005185
2015-06-25,8.531166089,8.522216096
2015-06-26,7.908962321,7.815193554
2015-06-27,7.954143008,7.98415404
2015-06-28,8.00759534,8.213890815
2015-06-29,7.297231166,7.194482162
2015-06-30,7.039933577,6.539343106
2015-07-01,7.198685032,6.911885878
2015-07-02,7.066890788,6.662938983
2015-07-03,7.101031529,6.846361328
2015-07-04,7.153659635,6.898988054
2015-07-05,7.00669029,6.675801042
2015-07-06,6.866180452,6.374421957
2015-07-07,6.928667716,6.524397421
2015-07-08,6.324833041,5.901097191
2015-07-09,6.418276584,6.000700441
2015-07-10,6.69563,6.381721781
2015-07-11,6.684902779,6.367703275
2015-07-12,6.406391275,5.893958956
2015-07-13,6.745054952,6.459374688
2015-07-14,6.903129993,6.695071226
2015-07-15,6.945284375,6.670152428
2015-07-16,7.101343773,7.160492352
2015-07-17,7.082720647,6.770483286
2015-07-18,7.224271098,7.08138907
2015-07-19,7.276695294,7.16480197
2015-07-20,7.179029744,7.007695995
2015-07-21,6.827010655,6.417672593
2015-07-22,6.828459489,6.778380055
2015-07-23,6.650381324,6.530370528
2015-07-24,6.420743538,6.318963426
2015-07-25,6.463436778,6.233856179
2015-07-26,6.40379753,6.184840952
2015-07-27,6.225177531,6.061279793
2015-07-28,6.776195054,6.72057984
2015-07-29,6.849583492,6.507206685
2015-07-30,6.72837006,6.332050677
2015-07-31,6.612064189,6.479841666
2015-08-01,6.613470161,6.276219105
2015-08-02,6.49652886,6.334481424
2015-08-03,6.212134204,5.804699637
2015-08-04,6.246851257,5.752312415
2015-08-05,6.310284475,5.975346015
2015-08-06,6.036659502,5.817680461
2015-08-07,6.185557362,5.934512707
2015-08-08,6.21911453,5.787990363
2015-08-09,6.251220047,6.078479834
2015-08-10,6.636769433,6.416929258
2015-08-11,6.433289128,6.378444552
2015-08-12,6.140954997,5.737532296
2015-08-13,5.986447386,5.522121798
2015-08-14,6.082150305,5.721799548
2015-08-15,6.232746536,5.708029005
2015-08-16,6.720914923,6.389651012
2015-08-17,6.871967435,6.653146359
2015-08-18,6.928530964,6.433137774
2015-08-19,6.540077468,6.040658757
2015-08-20,5.646274305,4.973461648
2015-08-21,5.000000003,4.085095424
2015-08-22,5.032583528,4.173274759
2015-08-23,5,4.205771342
2015-08-24,5,3.76529284
2015-08-25,4.999999999,3.475478283
2015-08-26,5.000000001,4.173619142
2015-08-27,5.276438517,4.475514477
2015-08-28,5.599039275,4.890077024
2015-08-29,5.58668928,4.966979956
2015-08-30,5.551020468,4.847936728
2015-08-31,5.418185192,4.686476191
2015-09-01,5,4.122407454
2015-09-02,5.060927393,4.292868258
2015-09-03,5.130318287,4.37200845
2015-09-04,4.999999999,4.14083893
2015-09-05,5,4.129276775
2015-09-06,4.999999999,4.118017081
2015-09-07,4.999999999,4.047128609
2015-09-08,6.107303614,5.105550661
2015-09-09,5.000000001,4.216539135
2015-09-10,5,4.182926783
2015-09-11,5,4.329349236
2015-09-12,5.000000001,4.261122786
2015-09-13,5,4.316655724
2015-09-14,4.999999999,4.200237847
2015-09-15,5,4.444192454
2015-09-16,5.043644419,4.685601012
2015-09-17,5.000000001,4.440592669
2015-09-18,5.000000001,4.20392504
2015-09-19,5,4.13151082
2015-09-20,4.999999999,4.370829358
2015-09-21,5,4.336124729
2015-09-22,4.999999999,4.15554064
2015-09-23,4.999999998,4.006968118
2015-09-24,5,3.961494639
2015-09-25,5,3.915902219
2015-09-26,4.999999998,4.035965201
2015-09-27,5,3.919388161
2015-09-28,5,3.659738163
2015-09-29,5,3.593567024
2015-09-30,4.999999998,4.136123547
2015-10-01,4.999999999,4.125153175
2015-10-02,5,4.105955411
2015-10-03,5,4.25419751
2015-10-04,4.999999999,4.250590596
2015-10-05,5.000000001,4.39945866
2015-10-06,5,4.322395701
2015-10-07,5.088548879,4.572103941
2015-10-08,5.299089681,4.849973417
2015-10-09,5.556733311,4.98773088
2015-10-10,5.585741863,4.901677771
2015-10-11,5.179447522,4.685303054
2015-10-12,5.02914992,4.615444302
2015-10-13,5.000000001,4.476082429
2015-10-14,5,4.333363255
2015-10-15,5.000000001,4.49243073
2015-10-16,5.146314572,4.70377646
2015-10-17,5,4.456157025
2015-10-18,5.000000001,4.426307212
2015-10-19,5,4.433353897
2015-10-20,5,4.397327395
2015-10-21,4.999999998,4.377415272
2015-10-22,4.999999999,4.461723088
2015-10-23,5,4.539320879
2015-10-24,5.013694989,4.565783958
2015-10-25,5.01711198,4.610648722
2015-10-26,5,4.595113957
2015-10-27,5,4.510128568
2015-10-28,5,4.651631627
2015-10-29,5,4.533076967
2015-10-30,5,4.484008068
2015-10-31,5,4.49260798
2015-11-01,5,4.600607056
2015-11-02,5.300580541,4.724783037
2015-11-03,5.480436842,4.980120704
2015-11-04,5.622826246,5.149255767
2015-11-05,5.192994382,4.696342608
2015-11-06,5.189417713,4.739527472
2015-11-07,5.121345446,4.806775206
2015-11-08,5.398717289,4.84072184
2015-11-09,5,4.651233112
2015-11-10,5,4.685158242
2015-11-11,5,4.512124189
2015-11-12,5,4.35601227
2015-11-13,5,4.35203446
2015-11-14,5,4.337314088
2015-11-15,5,4.279000185
2015-11-16,5.000000001,4.473553414
2015-11-17,5.000000001,4.307842857
2015-11-18,5,4.517117206
2015-11-19,5,4.44271951
2015-11-20,5,4.446461718
2015-11-21,5,4.510032436
2015-11-22,5,4.522210179
2015-11-23,5,4.438359169
2015-11-24,4.999999999,4.459582498
2015-11-25,5,4.413726856
2015-11-26,4.999999999,4.484104459
2015-11-27,5,4.621423168
2015-11-28,5,4.545098768
2015-11-29,5,4.516497746
2015-11-30,5,4.498319026
2015-12-01,5,4.581583462
2015-12-02,5,4.475940596
2015-12-03,5,4.296296798
2015-12-04,5,4.481526258
2015-12-05,5,4.627863897
2015-12-06,5,4.61634744
2015-12-07,5,4.57941651
2015-12-08,5,4.309201991
2015-12-09,5.000000005,4.197586062
